typification	typificationLabel
Q65188	7a966553714d8a8d5b945f53bc9d22ba: isotype of Ateleia martinezii J.Linares
Q65189	7a981455-e623-4e63-b931-9265c78103c5: isotype of Asplundia allenii Hammel
Q65190	7b065326-527d-4afd-b3cd-f4bd5dab6466: holotype of Aspilia rubra Aristeg.
Q65191	7b3adc58-6978-4cdb-b30b-35771d8f59a1: holotype of Acrotriche orbicularis Hislop
Q65192	7b3f097d-0157-4303-abaa-4bb745ff531b: holotype of Boehmeria palmeri S.Watson
Q65193	7b8eda90-bd9c-4107-b8d1-4722489e579c: holotype of Aristolochia chrismuelleriana W.N.Takeuchi
Q65194	7b95da28-88e9-410f-9906-0552b89af970: isotype of Banksia recurvistylis K.R.Thiele
Q65195	7ba6b9f5-7aa6-493a-bab3-4b800d4312f0: isotype of Axinaea ninakurorum Bussmann & Paniagua
Q65196	7bad78b2-2e5c-4067-81ee-4673f23b8799: isotype of Arachis cryptopotamica Krapov. & W.C.Greg.
Q65197	7bea323c4875c3853c02e023d6b3834a: holotype of Aniba guatemalensis Lundell
Q65198	7beafeb9-9803-4887-b610-6212c01a7925: lectotype of Aster atrovirens E.S.Burgess
Q65199	7beff5a0-ab52-4f4f-a0a5-3d9ed756b808: holotype of Anoda albiflora Fryxell
Q65200	7bf15719ccd3921311a65e06bc435dbc: holotype of Agave gomezpompae Cházaro & Jimeno-Sevilla
Q65201	7bf6ea29-25de-4e8d-84f2-ce507f6f7a25: holotype of Amphipogon laguroides subsp. havelii T.D.Macfarl.
Q65202	7bff8732-70b3-406b-b30c-aaa49fa15f23: holotype of Astartea zephyra Rye & Trudgen
Q65203	7c432431-41d0-4d65-9241-bc3c95a660a5: holotype of Azalea oblongifolia Small
Q65204	7c744cf5-3d85-4679-96d5-437cc4933870: holotype of Arachnorchis branwhitei D.L.Jones
Q65205	7c9cd27d-3410-4cf1-9d16-bf3edad58920: holotype of Arachnorchis atrovespa D.L.Jones
Q65206	7c9def6a-f6d1-4f2f-9971-048430390142: holotype of Astartea aspera subsp. riparia Rye
Q65207	7ca1ba97-5205-4534-9192-c4d2367af071: holotype of Ardisia liebmannii Oerst.
Q65208	7cc3c4af-389d-4f74-9d70-14e524a5b1fa: lectotype of Aster aucuparius E.S.Burgess
Q65209	7cfb3f96-7801-463e-8a17-a131ca82eb30: holotype of Boltonia apalachicolensis L.C.Anderson
Q65210	7d09c0df2c6176cbadfabf187a315251: holotype of Ardisia tenuis Lundell
Q65211	7d11e3f4-417b-4c66-85a3-a441ed8df03c: holotype of Arthrochilus apectus D.L.Jones
Q65212	7d31f6c1-5b0e-4ed3-9498-e0e96f96221c: isotype of Blakea nangaritzana D.Fernández, C.Ulloa & Penneys
Q65213	7d3e2086-cea0-4fc6-adc2-f22957e6521b: isotype of Blephilia subnuda Simmers & Kral
Q65214	7d6035a9-ffd1-4401-9b5f-dae3ac5fd29b: holotype of Banisteriopsis velutinissima B.Gates
Q65215	7d6b2161-effc-43ff-ba54-5ed6816bcce7: isotype of Arachis benensis Krapov., W.C.Greg. & C.E.Simpson
Q65216	7d6b68c5-150e-4ec0-b997-cf1adde8a308: holotype of Backhousia tetraptera Jackes
Q65217	7d6bbe1a-27d0-45ca-840c-4c5729555004: holotype of Apatzingania arachoidea Dieterle
Q65218	7d720fc7-b0cd-406f-be75-460d1c65c92c: isotype of Anthurium werffii Croat
Q65219	7d7c718b-cf10-4a2b-811a-b8085a3e9ea1: isotype of Apeiba trombetensis Dorr
Q65220	7d7e595c-4f73-4b54-822c-7f85aa0abd5c: isotype of Alsophila esmeraldensis R.C.Moran
Q65221	7d8979b5-115e-4728-89dd-1e5ed708727a: holotype of Astartea schaueri Rye & Trudgen
Q65222	7d904613-aecc-48ed-8a73-9ddc2adc2d2c: holotype of Archytaea angustifolia Maguire
Q65223	7da8b024-9439-4bfd-8888-34474505ecc2: isotype of Acacia umbraculiformis Maslin & Buscumb
Q65224	7dd19559-4e38-44f0-b9bb-7a73f11c85d7: isotype of Ardisia milneensis C.M.Hu
Q65225	7dedf781-3e8b-4b20-89f4-933f661de5ed: isotype of Ayenia latifolia Cristóbal
Q65226	7df9ebc3-6d19-46ab-8af7-9d45997719e6: holotype of Ardisia schippii Standl.
Q65227	7e41b07c-6ee1-44fb-8c9b-1f07ca52a0c9: isotype of Baccharis juncea subsp. clavata Joch.Müll.
Q65228	7e7a4b16-ae3e-4821-8ff9-db2fd18b66d2: isotype of Aulonemia jauaensis Judz. & Davidse
Q65229	7e825adc-8f2b-4b31-8ff9-bbb84369b47e: isotype of Boechera quebecensis Windham & Al-Shehbaz
Q65230	7e9fce0d-06dd-44e3-b8cc-2bc5b3e96e5f: holotype of Ardisia pergracilis Lundell
Q65231	7eaa9ea1-98a0-4f2d-bb60-c19c2dc9ce7b: isotype of Blechnum lehmannii Hieron.
Q65232	7ef26e83-20c2-44cd-8239-56deacc12dd3: lectotype of Bernardinia agelaeoides G.Schellenb.
Q65233	7ef946fb-18fe-43af-9164-c07ec43e9d84: isotype of Barleria grootbergensis I.Darbysh. & E.A.Tripp
Q65234	7f2b0ede-9d55-4960-b88a-ca85802bd578: isotype of Alysicarpus major Pedley
Q65235	7f67ad27-d453-414b-902c-3620106bc692: holotype of Barbacenia pallida L.B.Sm. & Ayensu
Q65236	7fa9e292-e219-4a5a-9069-b6c31d48f43a: isotype of Bertya riparia Halford & R.J.F.Hend.
Q65237	7fb33c5a-34e0-4c74-a337-61cf3cc0709e: isotype of Andromeda revoluta Spreng.
Q65238	7fcc1ff1-95e4-462a-8d7a-1d755ab4a3b5: isotype of Aegiphila quararibeana Rueda
Q65239	8021e578-89ad-4538-93ac-b3413c1a1d62: isotype of Aechmea tentaculifera Leme, Amorim & J.A.Siqueira
Q65240	80284469-4a79-4c8b-9458-eb28986a6712: holotype of Blechnum obtusum R.C.Moran & A.R.Sm.
Q65241	802c7d58-4e82-4ab4-9ff8-89a0c8ac2b6e: isotype of Boehmeria arbuscula Killip
Q65242	8032f15d-32e5-47d6-a4ac-6bbedc458ab7: holotype of Arachnorchis saxatilis D.L.Jones
Q65243	803E9275-E0CF-44EA-833A-0056395D9689: isotype of Begonia panamensis Burt-Utley & Utley
Q65244	8059ca41-3f86-4737-aff6-3ffcd5d4b60d: isotype of Aetanthus tachirensis Kuijt
Q65245	80C3E007-6A72-4F53-8C62-0C57928A47C0: holotype of Astragalus lentiginosus var. pohlii S.L.Welsh & Barneby
Q65246	80b056a1-451c-4fee-85b4-7049f33c1992: isotype of Arachis kuhlmannii Krapov. & W.C.Greg.
Q65247	80c3d27c-e752-4ba3-86a0-2bf1fa098c6e: holotype of Aristolochia schunkeana F.González
Q65248	80c64812-38f0-4290-9990-eb65dbf3bdae: isotype of Aulonemia ximenae L.G.Clark, Judz. & C.D.Tyrrell
Q65249	80c7764f-e95d-4507-aaf5-b388de1f5524: isotype of Baccharis papillosa subsp. chaparensis Joch.Müll.
Q65250	80f2fe88-dbe8-494d-a56c-b891e9f353f8: holotype of Astartea onycis Rye & Trudgen
Q65251	8109df14-c8e6-4ba4-a4d4-9505cf54e96f: isotype of Anthurium propinquum var. albispadix Croat & J.Rodr.
Q65252	8168ee5e-aae0-45c0-8810-c3d1a3205a83: holotype of Beyeria simplex Halford & R.J.F.Hend.
Q65253	818f00d9-494b-4b09-b6e1-e9c9a16761ee: holotype of Begonia ynesiae L.B.Sm. & Wassh.
Q65254	81CEFF3D-EBFC-4AD0-9948-79546D41295B: holotype of Astragalus tortipes J.L.Anderson & J.M.Porter
Q65255	81adda3b-7753-49f2-9e27-d70dc9b45b3b: isotype of Anthurium verrucosum Croat & D.C.Bay
Q65256	825b1c51-5ae0-4c9c-8672-0512f8e010f9: isotype of Abarema callejasii Barneby & J.W.Grimes
Q65257	8276b0e7-1f2d-4a6d-9a54-4577aa591aee: holotype of Astragalus shultziorum Barneby
Q65258	828ae91c93c840b314fbaba2c3ed6a75: isotype of Ageratina josepaneroi B.L.Turner
Q65259	82b9f9fe-8fff-4a3f-be7c-573dbc313677: isotype of Alstroemeria paraensis M.C.Assis
Q65260	82d6f17d-337c-4520-8d37-ac70137ee140: holotype of Arabis rollei Rollins
Q65261	82d9ba38-d147-4bd8-a56a-1caab7cdaef9: lectotype of Aster umbellatus var. latifolius A.Gray
Q65262	82f2004f-375e-498a-94d2-0b0d401b0fa5: isotype of Acianthera cornejoi Luer
Q65263	82fbe838-33de-4095-a97e-34dfe8c2cccd: isotype of Bertya calycina Halford & R.J.F.Hend.
Q65264	830a9b636f5b7c4e8ef14714effbfa30: holotype of Ardisia pirreana Lundell
Q65265	8315a77d-4a45-47a8-bd24-4298df1f1e9f: isotype of Acrotriche lancifolia Hislop
Q65266	831F569F-DDC2-4034-BF24-E5215A5F0ED1: isotype of Atriplex robusta Stutz, M.R.Stutz & S.C.Sand.
Q65267	8334f628-ccc7-4d38-90ac-4b2803191aff: holotype of Bonnetia martiana Maguire
Q65268	834b62af-4cc6-4114-b0f0-410f44f64a60: isotype of Acrotriche orbicularis Hislop
Q65269	835C3C9A-8272-4D5F-8DCD-198F8D6522A1: holotype of Bauhinia fryxellii Wunderlin
Q65270	839a78ee-49ba-486f-99f8-2198f649cc93: holotype of Aotus prosacris Chappill & C.F.Wilkins
Q65271	83bad4d2-94ac-48c7-a1b5-de179b2efb98: holotype of Amorimia velutina W.R.Anderson
Q65272	83c59024-896a-4b99-ac98-b0d1db995e0c: isotype of Aeschynomene fluvialis L.L.C.Antunes & M.J.Silva
Q65273	83c906db-dcce-43c3-8f05-1e84642946a8: isotype of Begonia hondurensis Burt-Utley & Utley
Q65274	83cbd09b-e634-4e43-b6ac-e2065f5faf69: isotype of Bertya granitica Halford & R.J.F.Hend.
Q65275	83f743c8-d718-416a-82d2-80ba43344c0d: isotype of Artemisia lingyeouruennii L.M.Shultz & Boufford
Q65276	8430f7e0-5cb0-4463-90ea-c8c7afd38eb2: holotype of Arabis constancei Rollins
Q65277	843b4297-8430-40ad-992a-c0c690225a6f: isotype of Anthurium effusispathum Croat
Q65278	843ddfd4-a8d4-417a-af7b-7c938a2a62bb: isotype of Anthurium diversicaudex Croat
Q65279	844292a2-dd51-4f34-8f22-fc219ae9393f: isotype of Astragalus zingeri var. violascens Popova
Q65280	845a1215-3f06-4959-9477-5fb8ed519038: holotype of Anredera densiflora Sperling
Q65281	84774129-e1f1-4507-867e-afcab040cfa6: holotype of Austrocactus hibernus subsp. robustior E.Sarnes & N.Sarnes
Q65282	84df4561-df6f-495f-a1ba-90d34579e1f8: holotype of Acalypha castroviejoi Cardiel
Q65283	84e3a1b5-2ac5-4619-bf1c-c6dafc825edf: holotype of Astragalus oophorus var. lavinii Barneby
Q65284	84e8e4badd02eb93312aab0e05248061: holotype of Acourtia belizeana B.L.Turner
Q65285	84f2c81e-eb84-4e8a-b6d7-30a5136bd8c6: isotype of Barringtonia josephstaalensis W.N.Takeuchi
Q65286	84fc28ca-97e4-4441-9d26-fbc87b0a56b5: holotype of Ardisia longistaminea A.C.Sm.
Q65287	8505db79-0bf1-4688-8ddc-7b71a6980cef: holotype of Blakea aeruginosa Standl.
Q65288	8507a24e-ea24-4024-95cd-b1a933ab8b23: holotype of Austrostipa burgesiana A.R.Williams
Q65289	85099c48-805e-410a-be8e-1430aa22e88c: isotype of Anthurium debilipeltatum Croat
Q65290	851cb24c-d08b-4926-93bd-1a245c647c08: isotype of Arachis matiensis Krapov., W.C.Greg. & C.E.Simpson
Q65291	8531a1e8-4212-4759-949a-711238b6090e: holotype of Atriplex buxifolia Rydb.
Q65302	86676679-6679-4765-91a7-93f478c7b365: isotype of Acronychia richards-beehleri W.N.Takeuchi
Q65303	868624b0-df0e-47ae-b65b-1123e9876b42: isotype of Anthurium genferryae Croat
Q65304	868fbb57-3728-4c33-af8a-b0c6a2e0183d: holotype of Aspidogyne vesiculosa Ormerod
Q65305	8697c569-0b12-457b-a30d-84b2e06455e2: holotype of Angianthus globuliformis M.Lyons & Keighery
Q65306	86e5a9c3-5db6-473d-9d30-f6a367937cfa: holotype of Aloysia velutina Siedo
Q65307	870e0ca4-1cc6-44a2-8313-ccfed72b7e8d: holotype of Arachnorchis saxatilis D.L.Jones
Q65308	872ae33e-d120-47d4-b1aa-3f99a9eccd5f: isotype of Agonandra peruviana Hiepko
Q65309	8762bf8d-b1d3-4dd3-9119-be7706fcccd5: holotype of Andersonia ferricola Lemson
Q65310	8779c23b-d4cd-4eac-8054-012907ac0596: holotype of Arabidella chrysodema Lepschi & Wege
Q65311	8793645c-d455-4f63-a75b-af31121deff2: holotype of Abarema centiflora Barneby & J.W.Grimes
Q65292	854bb7e1-bc0f-4053-82fa-5752a4b2686a: holotype of Acourtia hondurana B.L.Turner
Q65293	857a0eb448ec7ef9dcf6d0babba02733: holotype of Ardisia avendanoi Lundell
Q65294	858eba3a-2b6b-4490-915a-a0850004415c: isotype of Baccharis zongoensis Joch.Müll.
Q65295	859ddbc3-6463-4fb1-8bc2-3263c374f295: isotype of Bonyunia pulchra Ricketson, J.R.Grant & Liesner
Q65296	859f6df1-6f37-44c6-b95d-d557002f7bac: isotype of Baptisia cuneata Small
Q65297	85cd767c773890da891147e6ee50bc2c: holotype of Achimenes hintoniana Ram.-Roa & L.E.Skog
Q65298	85e62462-5583-4588-9b65-822fa568aaed: isotype of Althenia hearnii T.D.Macfarl. & D.D.Sokoloff
Q65299	85ecaa4f-4987-46ff-a297-472e0dd7c27a: holotype of Abies concolor var. martinezii Silba
Q65300	8615db49-26e3-424c-8f0f-a76883c4b463: isotype of Barclaya panchorensis Komala
Q65301	862D3F37-3A68-4658-A306-BEB5EAD892B3: holotype of Atriplex cuneata subsp. introgressa C.A.Hanson
Q65312	87ab7c80-f02e-4376-b35a-430aca04912f: holotype of Bauhinia sericella Standl.
Q65313	87f5ab32-091e-4c10-9eac-1c2d2615d15a: isotype of Adiantopsis timida Link-Pérez & Hickey
Q65314	88132dac-bc91-46ea-b83b-cbe9c0059fb1: holotype of Arachnorchis clavescens D.L.Jones
Q65315	8817818c-11b1-4d49-8ac1-851897c4cc72: holotype of Atriplex garrettii Rydb.
Q65316	88187d8d-9ef9-4a83-aa4f-5fc0f88d842d: holotype of Achaetogeron linearifolius S.Watson
Q65317	884f6183-5a09-4afc-a31f-fea562e59667: holotype of Bedfordia linearis subsp. oblongifolia Orchard
Q65318	88733297-bc23-4870-beee-d6230f4a5a38: holotype of Antirrhinum subcordatum A.Gray
Q65319	8901ddd5-1d5c-45a3-9622-eb920431cd00: isotype of Agalmyla pulcherrima Hilliard & B.L.Burtt
Q65320	89292c3a-e86b-49fa-b60f-3d8cb308a9db: holotype of Acacia umbraculiformis Maslin & Buscumb
Q65321	897eae82-f470-40bf-8a0b-906a0955c326: holotype of Atriplex corrugata S.Watson
Q65322	8980b783-527c-4287-8303-f0b302b391ac: isotype of Asarum rosei Sinn
Q65323	8981f64667e4d145aba5e0182f1ba429: holotype of Acourtia venturae L.Cabrera
Q65324	89B8360C-E7C0-492A-9789-DEAFF52FD215: holotype of Astragalus conjunctus var. rickardii S.L.Welsh, K.A.Beck & Caplow
Q65325	89C3F167-9B0E-475F-8847-BCEFBC82C1D5: holotype of Atriplex persistens Stutz & G.L.Chu
Q65326	89a7dfb9-b61b-4f77-bd18-b5c41c3534b4: holotype of Arabis divaricarpa var. stenocarpa M.Hopkins
Q65327	89b845be-9de3-4ef5-9838-8f01ef1420e4: isotype of Anthurium caldodsonii Croat
Q65328	89c9f5c0-3f6f-4cca-ad94-76f33bb89a47: holotype of Anthurium huequeense G.S.Bunting
Q65329	89cea4ee-da2a-460d-82fb-96c87856aaf3: isotype of Baeckea trapeza A.R.Bean
Q65330	89d11feb-af36-4812-bc6e-3099e36e89d7: lectotype of Aster venustus M.E.Jones
Q65331	89fb2456-695a-4a67-993a-a0b5e67ea9fd: isotype of Astragalus martinii Spellenb., Van Devender & P.D.Jenkins
Q65332	8DE062F9-7DD3-4F38-B0BE-D254D325B59C: holotype of Bellium artrutxense P.Fraga & Rosselló
Q65333	8a0a2985-0b20-45df-9e37-23a994a0e889: holotype of Attalea brasiliensis Glassman
Q65334	8a0fd0b7-3883-4d7c-9e3f-8a243f6fb769: isotype of Begonia goldingiana L.Kollmann & A.P.Fontana
Q65335	8a5619bd-04cb-498f-94fc-6508ff46f872: isotype of Anthurium santiagoense Croat
Q65336	8a5ad65e-0c92-4b0d-9f2c-a003b12e1cb0: holotype of Aloe sanguinalis Awale & Barkworth
Q65337	8a60a486-d640-4b65-a90c-28b78df5a9e3: holotype of Anoda abutiloides A.Gray
Q65338	8aa05867-6628-4ba7-8250-63dfdcd98c59: isotype of Blakea chlorantha Almeda
Q65339	8ad9fb70-6502-4a17-b797-d61c8dd44263: isotype of Astus subroseus Trudgen & Rye
Q65340	8b1b34a3-06e1-45dd-918d-ed6c0be03332: holotype of Athyrium barnebyanum Mickel & Beitel
Q65341	8b200138-29b5-439f-b6ea-c69e3942d4c9: isotype of Artocarpus teysmannii subsp. subglabrus C.C.Berg
Q65342	8b615f0a-ffdc-436a-8567-64df3a460b14: isotype of Aripuana cullmaniorum Struwe, Maas & V.A.Albert
Q65343	8b68e512-861b-49ed-9d88-a4d41ffe56c1: holotype of Anulocaulis gypsogenus Waterf.
Q65344	8b818771dd1e01be855919c2f30528c1: holotype of Baccharis confertoides G.L.Nesom
Q65345	8b9d840f-2c38-4e48-b9b2-d12ea18404aa: holotype of Babingtonia cherticola Rye & Trudgen
Q65346	8bb6d139-12e7-469a-9bc6-f214f878cc32: isotype of Bomarea amilcariana Stergios & Dorr
Q65347	8bbd30b1-e90f-4dec-bfbe-17cd2cd41384: holotype of Allium pseudofraseri T.M.Howard
Q65348	8bf47cde-60ee-4f49-9a22-62558eb820ad: holotype of Arachnorchis fuliginosa D.L.Jones
Q65349	8bfce58c-b5b7-42fe-9ef1-5a9271c92c22: isotype of Aspilia cachimboensis H.Rob.
Q65350	8c50ed6e-d6ad-41b3-aa17-65cd2d0d67bc: holotype of Astragalus holmgreniorum Barneby
Q65351	8c59cf92-56fc-46b1-adea-f56be0f5ce73: isotype of Alphonsea borneensis I.M.Turner
Q65352	8c8af878-8aaa-4cd3-b789-61cd7677f7da: holotype of Arachnorchis ancylosa D.L.Jones
Q65353	8c960867-b5dd-4c10-bf04-faa3427e9996: isotype of Bombacopsis obovata A.Robyns
Q65354	8ca1b7b6-2246-495d-85fc-736a2cc20636: holotype of Boehmeria austrina Small
Q65355	8ce0b360-89cd-47cb-b183-3663074a7bdb: isotype of Agalmyla stenosiphon Hilliard & B.L.Burtt
Q65356	8ce239a3-e26f-4a6c-8960-23bba0286a51: holotype of Arabis pycnocarpa var. adpressipilis M.Hopkins
Q65357	8e370ab8-29e9-4dbb-99d6-aa5f32bbe6b2: lectotype of Begonia multinervia Liebm.
Q65358	8e40f513-7855-42a9-a15d-a20970063888: holotype of Asplenium oligosorum Mickel & Beitel
Q65359	8e5ec363-4385-40bd-a30d-9b1d938bcfef: holotype of Acourtia reticulata var. maculata B.L.Turner
Q65360	8e8c376e-b45d-4ee8-899e-39bee78b19a6: holotype of Abies grandis var. idahoensis Silba
Q65361	8ea21806-a5bb-4e32-8599-8171ed0370b0: holotype of Baccharis venulosa var. occigranatensis Cuatrec.
Q65362	8eb72dcd-1954-4d6e-90df-2ff9fd7895bf: isotype of Acourtia durangensis B.L.Turner
Q65363	8f474c5388f8548df1c604d3c6771b4c: holotype of Acourtia dieringeri L.Cabrera
Q65364	8f4f4b1d-7058-41fa-ba72-400dbe01655e: lectotype of Agrimonia suaveolens Pursh
Q65365	8f5176ac-c8cc-45ca-bc49-ba04b4ae715a: holotype of Amarolea megacarpa Small
Q65366	8f8c00b7-48b7-4a4d-893c-cf3481341807: isotype of Adesmia vallsii Miotto
Q65367	8d3113dd-1176-4a41-9a5d-e6ac3d2a05ab: isotype of Blephilia subnuda Simmers & Kral
Q65368	8d46a73d-5867-44e8-9592-6d328cea9271: holotype of Berberis yanyuanensis Harber
Q65369	8d84cf5a-8a7c-4d44-b964-5aa636ba1655: holotype of Amaranthus induratus C.A.Gardner ex J.Palmer & Mowatt
Q65370	8d8b4a0e2c988da435c3f3335405d24d: holotype of Bakeridesia amoena Fryxell
Q65371	8d931e86-7865-48c8-84f1-2cadb8a7a3fd: isotype of Astrocaryum faranae F.Kahn & E.Ferreira
Q65372	8dac04e2-cca6-40f6-97de-3968ed771ab4: holotype of Appendicula topensabe Ormerod
Q65373	8dd5045d-902f-414b-8e2b-07e2b1446c72: lectotype of Aster elaeagnius E.S.Burgess
Q65374	8de132bb-5e0c-4cda-90eb-90b4ce8cbff8: isotype of Astartea decemcostata Rye
Q65375	8df27789-89cf-472d-872f-c471e3c286ec: isotype of Aotus lanea Chappill & C.F.Wilkins
Q65376	8dfbbd8d-23c7-418a-83a1-1ef4cde2c830: holotype of Agrostophyllum subacuminatum Ormerod
Q65377	8fceb0ba-60e2-41e2-93c3-dcc16d6a1685: holotype of Bollea violacea f. alba Christenson
Q65378	8fe0900c-0e11-4dbe-ab86-746ba146dc27: lectotype of Abrotanella linearifolia A.Gray
Q65379	8ff19dde-7846-4239-8e0d-a30b5dd6926a: isotype of Acalypha neeana Cardiel & P.Muñoz
Q65380	8ff687ca-603e-425a-a07f-e6024f8b3dd7: holotype of Asplenium stolonipes Mickel & Beitel
Q65381	901a5354-b60a-4027-9dcb-e607494d914c: holotype of Actinella vaseyi A.Gray
Q65382	901c3fbb-8192-4fb9-9334-bae466ab2e68: isotype of Acourtia sinaloana B.L.Turner
Q65383	904469a8-c240-488f-86bf-8b1716051584: isotype of Baccharis tola subsp. fimbriata Joch.Müll.
Q65384	90549f4ff9063ba8afcbaaaf6db317e9: holotype of Acourtia rzedowskii B.L.Turner
Q65385	90554b78421e643ec0ad5e7e0e0f7072: isotype of Aristolochia chiapensis J.F.Ortega & R.V.Ortega
Q65386	905b4bfa-004a-4c9b-8ac7-66676bdbd6ef: holotype of Arracacia macvaughii Mathias & Constance
Q65387	918d5675-1d1f-4be2-a4ed-79892bdf0fbe: isotype of Allionia incarnata f. glutinosissima Heimerl
Q65388	919287d5-b313-4c33-90c3-7f4d6cfaaf20: isotype of Balaustion unguiculatum Rye
Q65389	9194c2ac-9794-454b-ba1a-e42d50c713ac: holotype of Babingtonia urbana Rye
Q65390	91c8acf3-fa42-4e43-b694-f5cc1ecce4c8: isotype of Aotus lanea Chappill & C.F.Wilkins
Q65391	91f7f6d40fb156dcf0caa5cdf18c1cc0: isotype of Bauhinia ramirezii Reynoso
Q65392	9218d721-89d2-474a-a56b-687f8fe58086: holotype of Ardisia romeroi Cuatrec.
Q65393	921bf8d5-5faf-4a5c-b54c-5a31a6965da2: isotype of Austromyrtus glabra N.Snow & Guymer
Q65394	921d2e2d-f56a-44c3-8c6d-9cb8d1c98d48: holotype of Bifrenaria maguirei C.Schweinf.
Q65395	92225266-7594-4d76-8268-4c6b9b735d68: isotype of Besleria parviflora L.E.Skog & Steyerm.
Q65396	92452315-f836-46cd-a2cd-15bb4c31a587: holotype of Ardisia mammosa Lundell
Q65397	905e4026501c1a33b9dcb02d909f0926: holotype of Ageratina chazaroana B.L.Turner
Q65398	909E6148-6394-4329-AEE9-C64855993F95: isotype of Arabis harrisonii S.L.Welsh
Q65399	909f249c-5df6-43d6-82d8-5a3919d8495c: isotype of Astartea middletonii Rye
Q65400	90dd9c48ef75c4632c0da925ec6de794: holotype of Ageratina miahuatlana B.L.Turner
Q65401	90e43ee5-5d56-4e97-8121-78bea01cb702: holotype of Ascogrammitis colombiensis Sundue
Q65412	92db971d-f3db-4efe-9e5f-bbac066cd91d: holotype of Ardisia conoidea Lundell
Q65413	92e0c481-a2be-4f7b-8ff3-3371647c797b: holotype of Acacia willingii Lewington & Maslin
Q65414	92e569e7-022b-4b63-9066-e50bb8144a64: isotype of Arthrostylidium judziewiczii Davidse
Q65415	9307826e-a5e9-4bc4-834e-8a9b1527df90: holotype of Aegiphila novogranatensis f. grandifolia Moldenke
Q65416	93173b6f-19a2-4d90-a32c-3e340f0d9714: isotype of Astartea reticulata Rye
Q65417	9486880f-4ba9-40ba-a530-753fc0d8feef: holotype of Anemia andersonii Mickel & Labiak
Q65418	9495acc4-3891-44c2-aab8-754ece9790fd: lectotype of Aster divaricatus var. persaliens E.S.Burgess
Q65419	94DFC3CC-CD88-4CAB-A854-B579CC127479: holotype of Alternanthera nahui Heenan & de Lange
Q65420	94EC5325-5548-4183-9393-0A4CD96ACA9C: holotype of Astragalus castroviejoi Talavera & Sánchez-Gómez
Q65421	94e2f00d-7df1-4fd2-9b76-d685570b335d: holotype of Bakeridesia zapoteca Donnell
Q65402	90fef7ea-643e-45b3-832f-498903f22a73: isotype of Boechera kelseyana Windham & Allphin
Q65403	911e5a63-5ced-4f5b-96d5-9e3670363725: holotype of Bedfordia linearis var. curvifolia Orchard
Q65404	9127e529-551e-4065-a9f1-2ca95a26ce96: holotype of Acalypha elizabethae R.A.Howard
Q65405	912f10df-a5d5-4fc5-8393-1b150e42723a: holotype of Ardisia burgeri Lundell
Q65406	917c6d7d-e56a-4e97-95c8-39fe8e493f0a: isotype of Agalmyla pseudoborneensis Hilliard & B.L.Burtt
Q65407	924ac025-9d64-4847-9881-6b3b2533291e: holotype of Bombax sordidum R.E.Schult.
Q65408	926355db-acb1-46a7-94e0-d787f8f48c75: holotype of Abuta mycetandra Krukoff & Barneby
Q65409	926e07e4-69f7-4eba-bf84-a263b95b8ef4: isotype of Bauhinia ramirezii Reynoso
Q65410	92B9B9A8-29FF-41B6-A6B4-356A6151FCC8: holotype of Atriplex bonnevillensis C.A.Hanson
Q65411	92cfeada-678f-48c6-9bb7-8b1f409067a4: isotype of Anisomeles papuana A.R.Bean
Q65422	9505e923-d889-4261-9eb0-68832ec00194: holotype of Agalinis keyensis Pennell
Q65423	952ce578-d304-4659-8a31-c178d3fb239d: isotype of Blechnum puniceum T.C.Chambers, P.J.Edwards & R.J.Johns
Q65424	95340c6a-34fe-4ca0-bc65-0c759c5c7da8: isotype of Barringtonia jebbiana W.N.Takeuchi
Q65425	95a5278a-56d7-405d-9d67-7fb5f9876cf9: isotype of Balaustion interruptum Rye
Q65426	95a646d1-c76e-4df9-80c1-1ecba085d1c6: isotype of Bolbitis moranii J.B.Jiménez
Q65427	933452cf-ea2d-4405-8c1f-e30c6490f8d3: holotype of Anthurium polydactylum Madison
Q65428	93391819-50d8-4cd9-9f03-5fd309bddf20: holotype of Asplenium yelagagense Mickel & Beitel
Q65429	934bb99a-fc43-4034-ab3b-d4a067c53581: isotype of Berberis longquensis Y.K.Li, Harber, Y.W.Xing & C.C.Yu
Q65430	9365cb41-1051-4212-966f-567d654b49f8: isotype of Anisomeles papuana A.R.Bean
Q65431	93765d0e-1198-4d27-a0ba-cf4f28b9bcc4: isotype of Acourtia zacatecana B.L.Turner
Q65432	93eff57d-73a2-4e19-b5d0-507bb286b42a: holotype of Arabis pinzliae Rollins
Q65433	944f2221-6183-42eb-ad4f-bfa3b18e047c: isotype of Altensteinia paludosa Rchb.f.
Q65434	9450407f-51fb-4e2e-8fe4-920912e18820: isotype of Banksia croajingolensis Molyneux & Forrester
Q65435	9456d6f9-d53a-42c7-8775-ebd9643d065d: lectotype of Aster divaricatus var. cymulosus E.S.Burgess
Q65436	94733030-a4b7-4313-a597-49e0fb1a8ff2: isotype of Acacia trudgeniana Maslin
Q65437	95a6993c-ba5a-412c-a9f3-a9ad902dd516: isotype of Adiantum mcvaughii Mickel & Beitel
Q65438	95c72095-347f-4fef-b0a0-a98790ca0c22: lectotype of Ardisia opegrapha Oerst.
Q65439	95d36ce5-9f7a-43e2-b3ae-05dd901b3b74: holotype of Bigelowia pyramidata B.L.Rob. & Greenm.
